imaiva,left meaning,right meaning,verb hint,notes,relateds,opposites
gu,moving/traveler,destination,go/move/come/travel/journey/voyage,,,
guvi,guest,visited,visit,,,
guklu,wanderer,place/area,,,,
gurta,riser/floater/climber,high target,,,,
gudu,falling,pit/hole/ground/low resting place,,,,
gukau,spinner/turner,arc/smooth path,,,,
gurkau,roller/wheel,road,,,,
gubtau,approacher,attracting,,,,
guntau,retreater,repelling,,,,
gugai,marching/forging/traveling,destination,march/forge onward/push towards,,,
glu,tactile,texture,because of,,,
gluvi,friend/hugger/toucher,caress/petting/hug,hug/touch/pet/stroke,,,
gau,battery/coiled/tense/waiting,impending/potential/awaited,,,,
gaupi,ready/waiting/prepared,impending/awaited/event/activity,,,,
gaukda,sugar,sweet,,,,
ni,hinderance/brake,that which is ending/stopping,stop/halt/brake/slow/retard/impair,,,
nirgu,resting place/dock/landing pad/parking space/destination,arriver/comer,,,,
nikai,sleeper,sleeping,sleep/sleeps like,,,
nikaini,awakener/awake,awakening,awaken/wake up/wake,,,
nitki,settler,settling,,,,
nai,attacker/breaker,broken/victim,attack/break/destroy/damage,,,
nainki,pathogen,rotten,,,,
naiga,exploder/popper/smasher,exploded/popped/smashed,explode/pop/smash,,,
naigu,force/pusher/puller,pushed/pullled/moved,push/pull/swing/force,,,
nainau,freezer/chiller,warm victim,,implies the freezing is bad,,
na,negative/opposite,positive/primary,oppose/resist,,,
nadai,directly opposite,on the same side of the line,,,,
nami,secret,those not in the know,,,,
nagla,silent/quiet,absent sound,,,,
nu,small/weak,standard of size/standard of strength,is smaller than/is weaker than,,,
nudu,weak/lazy/droopy/tired/heavy,standard of activity,,,,
nufai,shrinker,reduced size/reduced weight/reduced strength,,,,
nudai,short,standard of length,,,,
nuzi,too small/too weak,standard of size/standard of strength,,,,
nau,cold,warm,is colder than,,,
nauzi,too cold,temperature threshold,,,,
naugai,very cold/freezing,hot,,,,
mi,expression/message/signal,quote/content,says,,,
mikau,answer/response,quote/content,,,,
mikla,echo,echoed,,,,
mitu,old saying/wisdom,news,,,,
mini,warning,supposed danger,,,,
mai,word/name,referent/concept,refers to/name/is the word for,,,
mainu,small word/seed word,small-word meaning,,,,
maiva,proper name/social identity/pronoun/label,referent/thing/person,,,,
maivanu,pronoun,referent,,,,
ma,communicator/me,topic,say/express/write,,,
marsa,communicators/we,shared topic,discuss/converse,"a plural ""ma"", deliberately not ""mu"", and thus not including the listener",ma,mu
magli,author,text,write,,,
magla,speaker,speech,say/speak,,,
mavau,laughing,laughter,laugh,,,
mu,participant,conversation,discuss/converse,,,marsa
mau,artist/author/orator,artwork/book/speech,paint/sculpt/write/invent/compose/craft,,,
maumi,storyteller,story/tale,tell,,,
fi,worker/laborer,task/work/labor,work/labor,,,
figu,transporter/sender/carrier/trucker/deliverer,cargo/package/load/delivery/parcel,send/give/transport/carry,,,
figuta,thrower,thrown,throw/hurl/chuck/toss,,,
fli,tool,handle/interface,can be used via,,,
flivgla,musical instrument,handle/interface,,,,
flivgladai,flute/recorder/pipe/trumpet,mouthpiece,,,,
flivglati,drum,surface of drum,,,,
fai,source/cause,effect/consequence,cause,this is the default verb when none is present in a sentence,,
faiti,emptier/loser/opener,empty/lost/open/gone,,,,
fa,creator,creation/artificial,create,,,
fagli,shining,glow,,,,
fagla,noisy,noise,,,,
faglagi,shouter/banger/screamer,shout/bang/scream,,,,
famgla,singer/vocalist/speaker,song/sound,,,,
famglakau,singer/vocalist/speaker,vowel,,,,
famglanai,singer/vocalist/speaker,consonant,,,,
favgla,musician,music,,,,
fagpu,demonstrator/instructor/presenter,shown/revealed/demonstrated/presented,,,,
fagpuna,hider/concealer,hidden/concealed,,,,
fia,giver/placer/putter/donor/dropper,object/placement/thing/dropped/placed,put/place/drop/give,,,
fla,player/learner,toy/game,play,,,
flakau,bowler,ball,,,,
flapa,puppeteer/instructor/master,doll/puppet/slave,puppet/control/instruct,,,
flarga,dancer,dance,dance,,,
flavla,trickster/prankster,trick/prank,trick/prank,,,
flavi,team/teammate,collaborative game/team game,play,,,
flapai,compeditor/contestant/challenger/racer,competition/contest/challenge/race,,competition is a game on some level; friendliness is implied,,
flapaisli,winner/victor/champion,competition/contest/challenge/race,,,,
flapaislina,loser,competition/contest/challenge/race,,,,
fu,owner/holder,property/posession,own/hold/posess,,,
flu,gate/door/window/entrance/exit,home/building,,,,
flukai,nest entrance,nest,,,,
fau,money/cost/value/price,expensive/scarce/valuable,is the price of/is the cost of,,,
vi,friend/friendly/caring,help/aid/benefitting,help/provide/give,ilaivi = for the benefit of; ulaivi = with help from,,
vai,safe/protected,guardian/protector,is protected by,,,
va,common/normal/average/middle/central,culture/civilization,is normal according to,,,
vaflu,privacy norm,neighborhood/housemate culture,,,,
vasfla,lesson/class,school (organization),,,,
vla,strange/alien/odd,surprise/quirk,,,,
vu,good/virtuous/correct,collaboration/virtue/agreement,,,,
vuna,evil/villainous/wrong,defect/error,,,,
vurpi,wonderful/grand/glorious,beneficiary,,,,
vau,peaceful/harmonious,alignment/shared value,,,,
si,number/cardinal,countable/quantified/discrete,is the count of,,,
sli,lesser,greater,is less than,,,
slispa,less than 0/negative,more than 0/some/positive,,,,
slisba,less than 1/non-positive,more than 1/multiple/plural,,,,
slista,less than 2,more than 2/several,,,,
slisda,less than 3,more than 3,,,,
sliska,less than 4/few,more than 4,,,,
slisga,less than 5,more than 5/many/lots/plenty,,,,
sai,position/rank/ordinal,ordered/ranked,is the rank of,,,
sa,member/element/unit/singular,set/class/type/plural/compound/multiple/sum,is a member of,"often used as a suffix to make the left meaning singular or the right meaning plural; ""rsa"" used as a suffix for vice-versa",,
samai,letter,letter group,,,,
sazla,dictionary entry,dictionary,,,,
sash panunu,offspring/twin,litter/twins/triplets,,,,
sla,subset,all/every/total/whole/superset,is a subset of,,,
slana,non-subset,large set,set difference,,,
su,system/framework/language/category,subject matter/defining structure,is a system for thinking about,,,
suki,genes,genetic,,,,
slu,morphism/function,hom-set/type signature,,,,
sau,equal/connected/isomorphic,equivalence/bridge/connection/isomorphism,,ilaisau = is metaphorically like; ulaisau = metaphorically describes,,
zi,beyond/excesive/too much/infinite/uncountable,infinity/limit,"is, in the limit,",,,
zikau,slope/derivative/linear approximation,integral/infinite sum/differentiable function,,,,
zikauni,stationary point,differentiable function with at least one stationary point,,,,
zai,extreme/most/end,quality/dimension,,"often used as a synonym for ""zairsli""",zairsli,
zaisli,start/beginning/initial/least,sequence/collection of ordered things/event,,,,
zairsli,end/last/terminal/greatest,sequence/collection of ordered things/event,,,zai,
zaidu,biggest/heaviest,bigness/weight/size,,,,
za,truth/true,evidence/proof,,,,
zana,falsehood/false,counterevidence/contradiction,,,,
zla,defined,definition,define,,,
zu,theoretical/imaginary,theory/hypothesis,,,,
zau,possible/possibility/option,condition,if,,,
